,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
House_273,0.073,0.634,0.462,0.491,0.447,0.473,0.376,0.373,0.394,0.371,0.132,0.372,0.374,0.039,0.496,0.702,0.936,0.678,0.472,0.43,0.448,0.418,0.465,0.567,0.506,0.457,0.643,0.929,0.511,0.632,1.02,0.663,1.655,0.543,0.386,0.382,0.802,0.666,0.631,0.812,0.578,0.592,0.737,0.593,0.788,1.058,0.638,0.748,1
House_274,0.238,0.078,0.063,0.066,0.06,0.063,0.058,0.067,0.058,0.054,0.091,0.116,0.109,0.09,0.171,0.165,0.237,0.142,0.121,0.466,0.332,0.552,0.847,0.786,0.12,0.094,0.108,0.626,0.331,0.113,0.119,0.115,0.119,0.976,0.84,0.958,0.598,0.871,1.663,1.976,0.991,1.108,1.229,0.963,0.84,0.529,0.182,0.083,1
House_289,0.135,0.059,0.07,0.079,0.074,0.074,0.079,0.069,0.077,0.123,0.088,0.127,0.149,0.24,0.346,0.545,0.306,0.656,1.105,0.566,0.326,0.229,0.111,0.131,0.127,0.221,0.155,0.619,0.608,0.513,0.3,0.722,0.509,1.656,0.93,1.163,1.17,1.01,0.707,0.626,0.597,0.74,0.714,1.102,0.606,0.739,0.876,0.875,1
House_294,0.246,0.85,0.626,0.854,0.803,0.808,0.588,0.828,0.78,1.186,0.563,1.04,0.728,0.31,0.738,0.957,0.959,0.984,0.638,0.921,0.659,0.814,0.53,0.813,0.503,0.671,0.668,0.742,0.538,0.674,0.556,0.773,0.494,0.654,0.545,0.814,0.67,0.736,0.573,0.728,0.648,0.814,0.641,0.831,0.636,0.922,0.577,0.816,1
House_302,0.103,0.526,0.519,0.514,0.541,0.576,0.571,0.569,0.572,0.57,0.051,0.549,0.507,0.182,0.509,0.978,0.968,1.117,1.04,1.0880001,1.709,1.6950001,1.464,1.465,1.937,2.6849999,2.1129999,0.829,0.596,0.573,0.523,0.568,0.508,0.494,0.493,0.493,0.492,0.632,0.635,0.636,0.631,1.598,2.108,1.434,0.556,0.545,0.534,0.526,1
House_348,0.679,0.103,0.068,0.041,0.051,0.1,0.086,0.085,0.097,0.117,0.063,0.065,0.162,0.737,0.326,0.373,0.623,0.407,0.488,0.141,0.097,0.101,0.125,0.118,0.105,0.25,0.116,0.103,0.227,0.242,0.449,0.172,0.261,0.217,1.3660001,1.289,1.572,1.561,1.273,1.242,1.512,1.489,1.449,1.212,0.434,0.199,0.117,0.102,1
House_349,0.027,0.663,0.515,0.508,0.547,0.513,0.524,0.542,0.54,0.585,0.106,0.444,0.682,0.095,0.703,0.603,0.713,0.648,1.053,1.0,1.192,1.803,1.503,2.0309999,1.5829999,1.36,1.339,1.258,0.7,0.643,0.617,0.727,0.64,0.604,0.571,0.675,0.819,0.9,0.827,0.895,0.856,0.845,0.78,0.781,0.616,0.541,0.538,0.55,1
House_362,0.33,1.221,0.87,0.523,0.45,0.608,0.385,0.85,0.93,0.323,0.001,0.366,0.333,0.114,0.352,0.412,0.383,0.3,0.587,0.663,1.016,0.512,0.445,0.576,0.769,0.959,0.45,0.411,0.251,0.4,0.821,0.861,0.761,0.644,0.394,0.384,0.792,0.399,1.2029999,1.22,1.433,1.207,1.281,1.239,1.225,0.889,0.856,0.477,1
House_363,0.208,0.316,0.261,0.294,0.301,0.25,0.254,0.249,0.304,0.307,0.077,0.646,0.863,0.165,0.877,1.0369999,0.831,0.888,0.963,0.948,0.845,0.833,0.85,0.869,0.83,0.951,0.92,1.011,0.932,0.865,0.85,0.991,1.643,1.007,1.076,1.089,1.194,1.994,2.066,1.569,1.4220001,1.057,1.008,0.688,0.666,0.665,0.693,0.84,1
House_366,0.139,0.57,0.583,0.589,0.602,0.572,0.585,0.586,0.608,0.581,0.063,0.569,0.592,0.135,0.587,0.588,0.597,0.586,0.547,0.592,0.574,0.54,0.551,0.823,0.649,0.703,0.68,0.662,0.664,0.622,0.798,0.854,0.841,0.862,0.953,2.0510001,1.235,1.752,2.092,1.964,1.273,0.696,0.754,0.751,0.655,0.551,0.549,0.58,1
House_385,0.056,0.527,0.481,0.648,0.845,0.265,0.259,0.247,0.385,0.335,0.163,0.287,0.25,0.259,0.186,0.87,0.628,0.618,0.621,0.691,0.798,0.862,1.183,1.027,1.058,1.258,1.431,0.978,0.787,0.591,0.242,0.241,0.242,0.303,0.553,1.118,1.266,1.471,2.29,2.7620001,1.821,1.681,1.272,1.429,1.039,1.018,0.97,0.89,1
House_393,0.118,0.102,0.101,0.095,0.097,0.103,0.092,0.09,0.091,0.185,0.15,0.25,0.244,0.069,0.199,0.495,1.229,1.09,0.694,0.32,0.306,0.263,0.713,0.614,0.538,0.275,0.141,0.315,0.145,0.132,0.41,0.345,0.652,1.16,0.689,1.494,0.743,1.5549999,0.838,0.653,0.445,0.662,0.547,0.524,0.66,0.547,0.556,1.16,1
House_403,0.153,0.363,0.373,0.335,0.344,0.329,0.335,0.318,0.336,0.327,0.07,0.322,0.326,0.087,0.332,0.488,0.543,0.477,0.583,0.509,0.322,0.283,0.301,0.28,0.14,0.145,0.15,0.117,0.117,0.311,0.187,0.378,0.488,0.477,1.079,1.1059999,1.29,2.227,1.906,1.423,1.5140001,1.477,1.535,1.276,1.199,0.129,1.5650001,1.539,1
House_421,0.144,0.183,0.142,0.131,0.162,0.168,0.129,0.106,0.185,0.12,0.127,0.161,0.186,0.3,0.123,0.067,0.029,0.301,0.254,0.207,0.171,0.204,0.134,0.29,0.071,0.066,0.065,0.075,0.052,0.087,0.053,0.314,0.364,1.1950001,1.158,1.364,0.984,0.867,0.975,1.669,1.647,1.035,0.906,0.794,0.638,0.188,0.405,0.357,1
House_425,0.524,0.249,0.249,0.263,0.247,0.276,0.256,0.253,0.253,0.251,0.172,0.301,0.299,0.167,0.451,0.369,0.31,0.259,0.354,0.432,0.58,0.697,0.657,0.384,0.027,0.267,0.29,0.53,0.146,0.008,0.254,0.632,0.675,0.755,0.779,0.79,0.898,0.881,0.81,0.933,1.306,0.864,1.21,0.496,0.307,0.108,0.269,0.268,1
House_450,0.392,0.333,0.373,0.399,0.289,0.407,0.432,0.542,0.594,0.648,0.061,0.578,0.6,0.104,0.582,0.598,0.421,0.617,1.046,1.2539999,1.201,1.424,1.092,1.016,0.009,0.021,0.014,0.016,0.021,0.01,0.022,0.672,0.66,0.564,0.674,0.923,0.993,1.0829999,1.1160001,1.233,1.2029999,0.868,0.566,0.384,0.63,0.061,0.466,0.31,1
House_490,0.324,0.078,0.077,0.072,0.115,0.101,0.074,0.071,0.071,0.096,0.084,0.082,0.071,0.054,0.229,0.58,1.0599999,0.487,1.089,1.314,1.742,1.067,2.8150001,2.635,0.119,0.111,0.09,0.113,0.115,0.101,0.118,0.569,0.383,0.313,0.345,0.334,1.0930001,2.0309999,2.1619999,2.5090001,2.1010001,1.224,0.882,0.91,0.748,0.118,0.663,0.668,1
House_494,0.313,0.208,0.092,0.247,0.092,0.214,0.082,0.246,0.091,0.099,0.113,0.172,0.227,0.605,0.166,0.473,0.274,0.272,0.52,0.687,1.563,1.6720001,1.882,1.726,0.107,0.075,0.056,0.055,0.148,0.059,0.063,0.418,1.489,1.702,1.86,1.4859999,1.492,0.942,0.877,1.059,0.959,0.964,1.232,1.13,1.454,0.078,1.0599999,0.654,1
House_518,0.052,0.167,0.164,0.18,0.187,0.194,0.186,0.161,0.165,0.215,0.049,0.524,0.643,0.062,0.594,1.29,0.53,0.219,0.196,0.167,0.153,0.201,0.227,0.358,0.092,0.102,0.136,0.186,0.149,0.144,0.102,0.414,0.669,0.707,0.654,2.1949999,1.46,0.922,1.2690001,1.98,0.87,1.183,0.416,0.38,0.246,0.053,0.512,0.433,1
House_550,0.006,0.271,0.238,0.187,0.216,0.272,0.275,0.171,0.201,0.31,0.026,0.272,0.375,0.07,0.728,0.714,0.981,1.154,1.0829999,0.663,0.526,0.507,0.574,0.444,0.653,0.478,1.14,1.098,0.259,0.255,0.5,0.887,1.119,1.018,0.977,0.987,1.344,1.553,0.446,0.456,0.518,0.482,0.441,0.991,0.78,0.173,0.47,0.238,1
House_557,0.025,0.608,0.742,0.676,0.791,0.732,0.706,0.725,0.698,0.694,0.047,0.272,0.212,0.105,0.893,1.182,1.2079999,1.306,0.447,1.151,0.372,0.872,0.328,0.354,0.049,0.017,0.05,0.015,0.053,0.016,0.138,0.695,0.298,0.14,0.187,0.783,1.51,1.2029999,1.224,1.11,0.811,0.768,0.699,0.66,0.78,0.034,1.001,1.03,1
House_580,0.181,0.399,0.425,0.438,0.399,0.389,0.372,0.416,0.429,0.401,0.029,0.358,0.397,0.417,0.537,0.667,0.6,0.465,0.815,0.832,1.168,1.653,1.577,2.016,0.063,0.057,0.241,0.504,0.249,0.189,0.106,0.778,0.706,0.78,1.274,0.918,0.776,0.56,0.554,0.585,0.583,0.598,0.564,0.595,0.584,0.054,0.558,0.491,1
House_602,0.454,0.919,1.045,1.346,1.1849999,0.416,0.448,0.425,0.436,0.505,0.11,0.416,0.401,0.118,0.726,0.523,0.296,0.257,0.643,0.782,0.575,1.031,0.293,0.211,0.306,0.19,0.132,0.193,0.143,1.307,0.164,0.507,0.517,0.615,0.785,1.308,1.178,0.909,0.896,1.427,2.7219999,1.6720001,1.216,1.029,0.832,0.157,0.699,0.685,1
House_626,0.047,0.246,0.434,0.316,0.343,0.374,0.262,0.404,0.241,0.377,0.064,0.405,0.419,0.085,0.419,0.368,0.335,0.357,0.439,0.468,0.237,0.296,0.255,0.161,0.072,0.093,0.061,0.081,0.047,0.098,0.078,0.999,1.072,1.064,1.809,1.48,0.917,1.123,0.915,0.863,0.885,0.913,0.721,0.615,0.581,0.049,0.497,0.42,1
House_643,0.012,0.139,0.127,0.178,0.176,0.127,0.122,0.171,0.181,0.128,0.049,0.152,0.184,0.147,0.215,0.348,0.715,0.503,0.26,0.838,0.521,0.175,0.232,0.329,0.163,0.094,0.286,0.06,0.097,0.131,0.188,0.169,0.369,0.262,0.687,0.824,0.98,1.806,1.645,1.124,0.979,0.964,0.914,0.858,0.648,0.059,0.621,0.544,1
